DATE,DFII5
2008-01-02,1.00
2008-01-03,0.98
2008-01-04,0.93
2008-01-07,0.94
2008-01-08,0.95
2008-01-09,0.94
2008-01-10,1.04
2008-01-11,0.91
2008-01-14,0.89
2008-01-15,0.84
2008-01-16,0.89
2008-01-17,0.84
2008-01-18,0.82
2008-01-21,.
2008-01-22,0.67
2008-01-23,0.72
2008-01-24,0.86
2008-01-25,0.76
2008-01-28,0.75
2008-01-29,0.77
2008-01-30,0.84
2008-01-31,0.67
2008-02-01,0.66
2008-02-04,0.74
2008-02-05,0.68
2008-02-06,0.71
2008-02-07,0.80
2008-02-08,0.67
2008-02-11,0.62
2008-02-12,0.65
2008-02-13,0.68
2008-02-14,0.78
2008-02-15,0.68
2008-02-18,.
2008-02-19,0.78
2008-02-20,0.77
2008-02-21,0.63
2008-02-22,0.64
2008-02-25,0.71
2008-02-26,0.60
2008-02-27,0.57
2008-02-28,0.39
2008-02-29,0.20
2008-03-03,0.19
2008-03-04,0.20
2008-03-05,0.23
2008-03-06,0.13
2008-03-07,0.08
2008-03-10,0.01
2008-03-11,0.20
2008-03-12,0.12
2008-03-13,0.15
2008-03-14,0.12
2008-03-17,0.13
2008-03-18,0.21
2008-03-19,0.22
2008-03-20,0.22
2008-03-21,.
2008-03-24,0.47
2008-03-25,0.48
2008-03-26,0.42
2008-03-27,0.40
2008-03-28,0.30
2008-03-31,0.27
2008-04-01,0.44
2008-04-02,0.51
2008-04-03,0.54
2008-04-04,0.45
2008-04-07,0.52
2008-04-08,0.53
2008-04-09,0.42
2008-04-10,0.47
2008-04-11,0.40
2008-04-14,0.43
2008-04-15,0.48
2008-04-16,0.60
2008-04-17,0.68
2008-04-18,0.71
2008-04-21,0.70
2008-04-22,0.72
2008-04-23,0.73
2008-04-24,0.89
2008-04-25,0.89
2008-04-28,0.84
2008-04-29,0.82
2008-04-30,0.77
2008-05-01,0.79
2008-05-02,0.86
2008-05-05,0.85
2008-05-06,0.84
2008-05-07,0.80
2008-05-08,0.69
2008-05-09,0.66
2008-05-12,0.70
2008-05-13,0.85
2008-05-14,0.86
2008-05-15,0.75
2008-05-16,0.75
2008-05-19,0.69
2008-05-20,0.60
2008-05-21,0.62
2008-05-22,0.77
2008-05-23,0.73
2008-05-26,.
2008-05-27,0.85
2008-05-28,0.97
2008-05-29,1.01
2008-05-30,1.01
2008-06-02,0.88
2008-06-03,0.85
2008-06-04,0.94
2008-06-05,0.97
2008-06-06,0.75
2008-06-09,0.93
2008-06-10,1.06
2008-06-11,0.98
2008-06-12,1.14
2008-06-13,1.17
2008-06-16,1.15
2008-06-17,1.11
2008-06-18,1.00
2008-06-19,1.12
2008-06-20,1.04
2008-06-23,1.09
2008-06-24,0.95
2008-06-25,0.97
2008-06-26,0.80
2008-06-27,0.74
2008-06-30,0.71
2008-07-01,0.67
2008-07-02,0.61
2008-07-03,0.56
2008-07-04,.
2008-07-07,0.60
2008-07-08,0.67
2008-07-09,0.57
2008-07-10,0.53
2008-07-11,0.67
2008-07-14,0.62
2008-07-15,0.57
2008-07-16,0.64
2008-07-17,0.81
2008-07-18,0.92
2008-07-21,0.94
2008-07-22,1.06
2008-07-23,1.22
2008-07-24,1.09
2008-07-25,1.21
2008-07-28,1.09
2008-07-29,1.21
2008-07-30,1.14
2008-07-31,1.09
2008-08-01,1.06
2008-08-04,1.09
2008-08-05,1.18
2008-08-06,1.22
2008-08-07,1.07
2008-08-08,1.17
2008-08-11,1.26
2008-08-12,1.17
2008-08-13,1.20
2008-08-14,1.13
2008-08-15,1.16
2008-08-18,1.15
2008-08-19,1.15
2008-08-20,1.06
2008-08-21,1.06
2008-08-22,1.20
2008-08-25,1.16
2008-08-26,1.16
2008-08-27,1.10
2008-08-28,1.15
2008-08-29,1.21
2008-09-01,.
2008-09-02,1.28
2008-09-03,1.29
2008-09-04,1.28
2008-09-05,1.31
2008-09-08,1.34
2008-09-09,1.38
2008-09-10,1.39
2008-09-11,1.36
2008-09-12,1.47
2008-09-15,1.36
2008-09-16,1.61
2008-09-17,1.48
2008-09-18,1.65
2008-09-19,1.64
2008-09-22,1.60
2008-09-23,1.78
2008-09-24,1.82
2008-09-25,1.91
2008-09-26,1.90
2008-09-29,1.76
2008-09-30,2.01
2008-10-01,1.92
2008-10-02,1.75
2008-10-03,1.68
2008-10-06,1.70
2008-10-07,1.83
2008-10-08,2.27
2008-10-09,2.32
2008-10-10,2.57
2008-10-13,.
2008-10-14,2.77
2008-10-15,2.76
2008-10-16,2.88
2008-10-17,2.79
2008-10-20,2.73
2008-10-21,2.75
2008-10-22,2.80
2008-10-23,2.96
2008-10-24,3.44
2008-10-27,3.74
2008-10-28,3.79
2008-10-29,3.73
2008-10-30,3.65
2008-10-31,3.76
2008-11-03,3.66
2008-11-04,3.45
2008-11-05,3.40
2008-11-06,3.48
2008-11-07,3.56
2008-11-10,3.52
2008-11-11,.
2008-11-12,3.46
2008-11-13,3.50
2008-11-14,3.43
2008-11-17,3.44
2008-11-18,3.51
2008-11-19,3.61
2008-11-20,3.73
2008-11-21,3.96
2008-11-24,4.19
2008-11-25,4.12
2008-11-26,4.24
2008-11-27,.
2008-11-28,4.17
2008-12-01,2.03
2008-12-02,1.73
2008-12-03,1.57
2008-12-04,1.47
2008-12-05,1.79
2008-12-08,2.04
2008-12-09,1.94
2008-12-10,1.98
2008-12-11,1.90
2008-12-12,1.93
2008-12-15,2.09
2008-12-16,1.64
2008-12-17,1.26
2008-12-18,1.37
2008-12-19,1.66
2008-12-22,1.77
2008-12-23,1.80
2008-12-24,1.81
2008-12-25,.
2008-12-26,1.79
2008-12-29,1.66
2008-12-30,1.72
2008-12-31,1.81
2009-01-01,.
2009-01-02,1.97
2009-01-05,1.86
2009-01-06,1.82
2009-01-07,1.75
2009-01-08,1.68
2009-01-09,1.60
2009-01-12,1.55
2009-01-13,1.47
2009-01-14,1.49
2009-01-15,1.46
2009-01-16,1.47
2009-01-19,.
2009-01-20,1.45
2009-01-21,1.56
2009-01-22,1.52
2009-01-23,1.55
2009-01-26,1.57
